schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,units,cell,formula_json,cached_value_json,cell_data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,U14,"{""text"":""INDEX($B$2:$B$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}","""ПГС245/20х80х2""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,V14,"{""text"":""INDEX($C$2:$C$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}","""ПГС300/20х80х2,5""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,W14,"{""text"":""INDEX($E$2:$E$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}",296,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,X14,"{""text"":""INDEX($F$2:$F$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}",260,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,Y14,"{""text"":""INDEX($G$2:$G$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}",577,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,Z14,"{""text"":""INDEX($O$2:$O$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}",22.72067361111111,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,AA14,"{""text"":""INDEX($I$2:$I$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}",6,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,AB14,"{""text"":""INDEX($J$2:$J$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}",233,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,AC14,"{""text"":""INDEX($K$2:$K$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}","""7х2""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,"U14:AI15,AJ9:BE14",2026-09-16,mixed,AD14,"{""text"":""INDEX($L$2:$L$7,MATCH(AM9,$A$2:$A$7,0))"",""type"":null,""shared_index"":null,""ref"":null}","""9х2""",str
