schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,role,branch,cell,raw_formula,cached_value_json,data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!V10,2026-09-17,project_span,ROW15,V10,=вывод!D4,12,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!V11,2026-09-17,project_length,ROW15,V11,=вывод!D5,18,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!AM9,2026-09-17,row14_design_family,ROW14,AM9,"=IF($V$10<=9,9,AM10)",12,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!BD9,2026-09-17,row15_design_family,ROW15,BD9,"=IF($V$10<=9,9,BD10)",12,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!Z14,2026-09-17,row14_geometry_score,ROW14,Z14,"=INDEX($O$2:$O$7,MATCH(AM9,$A$2:$A$7,0))",22.72067361111111,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!Z15,2026-09-17,row15_geometry_score,ROW15,Z15,"=INDEX($O$9:$O$14,MATCH(BD9,$A$9:$A$14,0))",22.72067361111111,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!X14,2026-09-17,row14_bolt_quantity,ROW14,X14,"=INDEX($F$2:$F$7,MATCH(AM9,$A$2:$A$7,0))",260,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!X15,2026-09-17,row15_bolt_quantity,ROW15,X15,"=INDEX($F$9:$F$14,MATCH(BD9,$A$9:$A$14,0))",260,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,вывод!E8,2026-09-17,branch_left_score,COMMON_SELECTOR,E8,=подбор!Z14+'Подбор прогонов'!$T$28,30.25967361111111,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,вывод!E9,2026-09-17,branch_right_score,COMMON_SELECTOR,E9,=подбор!Z15+'Подбор прогонов 2'!$T$28,30.25967361111111,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов,Подбор прогонов!T28,2026-09-17,left_purlin_step,COMMON_SELECTOR,T28,"=IF(T25=0, T26,T25)",7.539000000000001,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,Подбор прогонов 2!T28,2026-09-17,right_purlin_step,COMMON_SELECTOR,T28,"=IF(T25=0, T26,T25)",7.539000000000001,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,вывод!D52,2026-09-17,output_ridge_bolts,COMMON_SELECTOR,D52,"=IF(E8>E9,подбор!AC15,подбор!AC14)","""7х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,вывод!E52,2026-09-17,output_ridge_quantity,COMMON_SELECTOR,E52,"=IF(E8>E9,подбор!X15,подбор!X14)",260,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,вывод!D53,2026-09-17,output_eave_bolts,COMMON_SELECTOR,D53,"=IF(E8>E9,подбор!AD15,подбор!AD14)","""9х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,вывод!D54,2026-09-17,output_support_bolts,COMMON_SELECTOR,D54,"=IF(E8>E9,подбор!AE15,подбор!AE14)","""6х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,вывод!D55,2026-09-17,output_eave_column_bolts,COMMON_SELECTOR,D55,"=IF(E8>E9,подбор!AF15,подбор!AF14)","""9х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,вывод!D57,2026-09-17,output_fittings_weight,COMMON_SELECTOR,D57,"=IF(E8>E9,подбор!AB15,подбор!AB14)",233,n
