schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,design_family,branch,source_row,cells_json
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A2:O7,2026-09-17,9,ROW14,2,"{""A2"":{""raw_formula"":null,""cached_value"":9,""data_type"":""n""},""B2"":{""raw_formula"":""='9м'!IA19"",""cached_value"":""ПГС245/20х80х1,5"",""data_type"":""s""},""C2"":{""raw_formula"":""='9м'!IB19"",""cached_value"":""ПГС245/20х80х2"",""data_type"":""s""},""D2"":{""raw_formula"":null,""cached_value"":null,""data_type"":""n""},""E2"":{""raw_formula"":""=115*S2"",""cached_value"":230,""data_type"":""n""},""F2"":{""raw_formula"":""='9м'!ID19"",""cached_value"":244,""data_type"":""n""},""G2"":{""raw_formula"":""='9м'!IE19"",""cached_value"":390.2,""data_type"":""n""},""H2"":{""raw_formula"":""='9м'!IF19"",""cached_value"":9.487415432098764,""data_type"":""n""},""I2"":{""raw_formula"":""='9м'!IG19"",""cached_value"":6,""data_type"":""n""},""J2"":{""raw_formula"":""='9м'!IH19"",""cached_value"":186,""data_type"":""n""},""K2"":{""raw_formula"":""='9м'!II19"",""cached_value"":""6х2"",""data_type"":""s""},""L2"":{""raw_formula"":""='9м'!IJ19"",""cached_value"":""8х2"",""data_type"":""s""},""M2"":{""raw_formula"":""='9м'!IK19"",""cached_value"":""7х2"",""data_type"":""s""},""N2"":{""raw_formula"":""='9м'!IL19"",""cached_value"":""8х2"",""data_type"":""s""},""O2"":{""raw_formula"":""=(E2+G2*T2)/(9*$V$11)+H2"",""cached_value"":20.541736419753086,""data_type"":""n""}}"
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A2:O7,2026-09-17,12,ROW14,3,"{""A3"":{""raw_formula"":null,""cached_value"":12,""data_type"":""n""},""B3"":{""raw_formula"":""='12м'!IA19"",""cached_value"":""ПГС245/20х80х2"",""data_type"":""s""},""C3"":{""raw_formula"":""='12м'!IB19"",""cached_value"":""ПГС300/20х80х2,5"",""data_type"":""s""},""D3"":{""raw_formula"":null,""cached_value"":null,""data_type"":""n""},""E3"":{""raw_formula"":""=148*S3"",""cached_value"":296,""data_type"":""n""},""F3"":{""raw_formula"":""='12м'!ID19"",""cached_value"":260,""data_type"":""n""},""G3"":{""raw_formula"":""='12м'!IE19"",""cached_value"":577,""data_type"":""n""},""H3"":{""raw_formula"":""='12м'!IF19"",""cached_value"":10.665118055555556,""data_type"":""n""},""I3"":{""raw_formula"":""='12м'!IG19"",""cached_value"":6,""data_type"":""n""},""J3"":{""raw_formula"":""='12м'!IH19"",""cached_value"":233,""data_type"":""n""},""K3"":{""raw_formula"":""='12м'!II19"",""cached_value"":""7х2"",""data_type"":""s""},""L3"":{""raw_formula"":""='12м'!IJ19"",""cached_value"":""9х2"",""data_type"":""s""},""M3"":{""raw_formula"":""='12м'!IK19"",""cached_value"":""6х2"",""data_type"":""s""},""N3"":{""raw_formula"":""='12м'!IL19"",""cached_value"":""9х2"",""data_type"":""s""},""O3"":{""raw_formula"":""=(E3+G3*T3)/(12*$V$11)+H3"",""cached_value"":22.72067361111111,""data_type"":""n""}}"
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A2:O7,2026-09-17,15,ROW14,4,"{""A4"":{""raw_formula"":null,""cached_value"":15,""data_type"":""n""},""B4"":{""raw_formula"":""='15м'!IA19"",""cached_value"":""ПГС245/20х80х2,5"",""data_type"":""s""},""C4"":{""raw_formula"":""='15м'!IB19"",""cached_value"":""ПГС300/20х80х3"",""data_type"":""s""},""D4"":{""raw_formula"":null,""cached_value"":null,""data_type"":""n""},""E4"":{""raw_formula"":""=181*S4"",""cached_value"":362,""data_type"":""n""},""F4"":{""raw_formula"":""='15м'!ID19"",""cached_value"":308,""data_type"":""n""},""G4"":{""raw_formula"":""='15м'!IE19"",""cached_value"":820,""data_type"":""n""},""H4"":{""raw_formula"":""='15м'!IF19"",""cached_value"":8.532094444444445,""data_type"":""n""},""I4"":{""raw_formula"":""='15м'!IG19"",""cached_value"":6,""data_type"":""n""},""J4"":{""raw_formula"":""='15м'!IH19"",""cached_value"":264,""data_type"":""n""},""K4"":{""raw_formula"":""='15м'!II19"",""cached_value"":""9х2"",""data_type"":""s""},""L4"":{""raw_formula"":""='15м'!IJ19"",""cached_value"":""10х2"",""data_type"":""s""},""M4"":{""raw_formula"":""='15м'!IK19"",""cached_value"":""8х2"",""data_type"":""s""},""N4"":{""raw_formula"":""='15м'!IL19"",""cached_value"":""10х2"",""data_type"":""s""},""O4"":{""raw_formula"":""=(E4+G4*T4)/(15*$V$11)+H4"",""cached_value"":22.020983333333334,""data_type"":""n""}}"
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A2:O7,2026-09-17,18,ROW14,5,"{""A5"":{""raw_formula"":null,""cached_value"":18,""data_type"":""n""},""B5"":{""raw_formula"":""='18м'!IA19"",""cached_value"":""ПГС300/20х80х2,5"",""data_type"":""s""},""C5"":{""raw_formula"":""='18м'!IB19"",""cached_value"":""ПГС300/20х80х3"",""data_type"":""s""},""D5"":{""raw_formula"":null,""cached_value"":null,""data_type"":""n""},""E5"":{""raw_formula"":""=224*S5"",""cached_value"":672,""data_type"":""n""},""F5"":{""raw_formula"":""='18м'!ID19"",""cached_value"":332,""data_type"":""n""},""G5"":{""raw_formula"":""='18м'!IE19"",""cached_value"":950,""data_type"":""n""},""H5"":{""raw_formula"":""='18м'!IF19"",""cached_value"":6.802672839506172,""data_type"":""n""},""I5"":{""raw_formula"":""='18м'!IG19"",""cached_value"":5,""data_type"":""n""},""J5"":{""raw_formula"":""='18м'!IH19"",""cached_value"":280,""data_type"":""n""},""K5"":{""raw_formula"":""='18м'!II19"",""cached_value"":""10х2"",""data_type"":""s""},""L5"":{""raw_formula"":""='18м'!IJ19"",""cached_value"":""11х2"",""data_type"":""s""},""M5"":{""raw_formula"":""='18м'!IK19"",""cached_value"":""8х2"",""data_type"":""s""},""N5"":{""raw_formula"":""='18м'!IL19"",""cached_value"":""11х2"",""data_type"":""s""},""O5"":{""raw_formula"":""=(E5+G5*T5)/(18*$V$11)+H5"",""cached_value"":23.53724074074074,""data_type"":""n""}}"
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A2:O7,2026-09-17,21,ROW14,6,"{""A6"":{""raw_formula"":null,""cached_value"":21,""data_type"":""n""},""B6"":{""raw_formula"":""='21м'!IA19"",""cached_value"":""ПГС245/20х80х2,5"",""data_type"":""s""},""C6"":{""raw_formula"":""='21м'!IB19"",""cached_value"":""ПГС300/20х80х3"",""data_type"":""s""},""D6"":{""raw_formula"":null,""cached_value"":null,""data_type"":""n""},""E6"":{""raw_formula"":""=290*S6"",""cached_value"":1160,""data_type"":""n""},""F6"":{""raw_formula"":""='21м'!ID19"",""cached_value"":324,""data_type"":""n""},""G6"":{""raw_formula"":""='21м'!IE19"",""cached_value"":1045,""data_type"":""n""},""H6"":{""raw_formula"":""='21м'!IF19"",""cached_value"":5.216613756613757,""data_type"":""n""},""I6"":{""raw_formula"":""='21м'!IG19"",""cached_value"":4,""data_type"":""n""},""J6"":{""raw_formula"":""='21м'!IH19"",""cached_value"":304,""data_type"":""n""},""K6"":{""raw_formula"":""='21м'!II19"",""cached_value"":""10х2"",""data_type"":""s""},""L6"":{""raw_formula"":""='21м'!IJ19"",""cached_value"":""10х2"",""data_type"":""s""},""M6"":{""raw_formula"":""='21м'!IK19"",""cached_value"":""8х2"",""data_type"":""s""},""N6"":{""raw_formula"":""='21м'!IL19"",""cached_value"":""11х2"",""data_type"":""s""},""O6"":{""raw_formula"":""=(E6+G6*T6)/(21*$V$11)+H6"",""cached_value"":24.872698412698412,""data_type"":""n""}}"
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A2:O7,2026-09-17,24,ROW14,7,"{""A7"":{""raw_formula"":null,""cached_value"":24,""data_type"":""n""},""B7"":{""raw_formula"":""='24м'!KM19"",""cached_value"":""#N/A"",""data_type"":""e""},""C7"":{""raw_formula"":""='24м'!KN19"",""cached_value"":""#N/A"",""data_type"":""e""},""D7"":{""raw_formula"":""='24м'!KO19"",""cached_value"":""#N/A"",""data_type"":""e""},""E7"":{""raw_formula"":""=D7*S7"",""cached_value"":""#N/A"",""data_type"":""e""},""F7"":{""raw_formula"":""='24м'!KP19"",""cached_value"":""#N/A"",""data_type"":""e""},""G7"":{""raw_formula"":""='24м'!KQ19"",""cached_value"":""#N/A"",""data_type"":""e""},""H7"":{""raw_formula"":""='24м'!KR19"",""cached_value"":""#N/A"",""data_type"":""e""},""I7"":{""raw_formula"":""='24м'!KS19"",""cached_value"":""#N/A"",""data_type"":""e""},""J7"":{""raw_formula"":""='24м'!KT19"",""cached_value"":""#N/A"",""data_type"":""e""},""K7"":{""raw_formula"":""='24м'!KU19"",""cached_value"":""#N/A"",""data_type"":""e""},""L7"":{""raw_formula"":""='24м'!KV19"",""cached_value"":""#N/A"",""data_type"":""e""},""M7"":{""raw_formula"":""='24м'!KW19"",""cached_value"":""#N/A"",""data_type"":""e""},""N7"":{""raw_formula"":""='24м'!KX19"",""cached_value"":""#N/A"",""data_type"":""e""},""O7"":{""raw_formula"":""=(E7+G7*T7)/(24*$V$11)+H7"",""cached_value"":""#N/A"",""data_type"":""e""}}"
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A9:O14,2026-09-17,9,ROW15,9,"{""A9"":{""raw_formula"":null,""cached_value"":9,""data_type"":""n""},""B9"":{""raw_formula"":""='9м'!RQ19"",""cached_value"":""ПГС245/20х80х1,5"",""data_type"":""s""},""C9"":{""raw_formula"":""='9м'!RR19"",""cached_value"":""ПГС245/20х80х2"",""data_type"":""s""},""D9"":{""raw_formula"":null,""cached_value"":null,""data_type"":""n""},""E9"":{""raw_formula"":""=115*S9"",""cached_value"":230,""data_type"":""n""},""F9"":{""raw_formula"":""='9м'!RT19"",""cached_value"":244,""data_type"":""n""},""G9"":{""raw_formula"":""='9м'!RU19"",""cached_value"":390.2,""data_type"":""n""},""H9"":{""raw_formula"":""='9м'!RV19"",""cached_value"":9.487415432098764,""data_type"":""n""},""I9"":{""raw_formula"":""='9м'!RW19"",""cached_value"":6,""data_type"":""n""},""J9"":{""raw_formula"":""='9м'!RX19"",""cached_value"":186,""data_type"":""n""},""K9"":{""raw_formula"":""='9м'!RY19"",""cached_value"":""6х2"",""data_type"":""s""},""L9"":{""raw_formula"":""='9м'!RZ19"",""cached_value"":""8х2"",""data_type"":""s""},""M9"":{""raw_formula"":""='9м'!SA19"",""cached_value"":""7х2"",""data_type"":""s""},""N9"":{""raw_formula"":""='9м'!SB19"",""cached_value"":""8х2"",""data_type"":""s""},""O9"":{""raw_formula"":""=(E9+G9*T9)/(9*$V$11)+H9"",""cached_value"":20.541736419753086,""data_type"":""n""}}"
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A9:O14,2026-09-17,12,ROW15,10,"{""A10"":{""raw_formula"":null,""cached_value"":12,""data_type"":""n""},""B10"":{""raw_formula"":""='12м'!RQ19"",""cached_value"":""ПГС245/20х80х2"",""data_type"":""s""},""C10"":{""raw_formula"":""='12м'!RR19"",""cached_value"":""ПГС300/20х80х2,5"",""data_type"":""s""},""D10"":{""raw_formula"":null,""cached_value"":null,""data_type"":""n""},""E10"":{""raw_formula"":""=148*S10"",""cached_value"":296,""data_type"":""n""},""F10"":{""raw_formula"":""='12м'!RT19"",""cached_value"":260,""data_type"":""n""},""G10"":{""raw_formula"":""='12м'!RU19"",""cached_value"":577,""data_type"":""n""},""H10"":{""raw_formula"":""='12м'!RV19"",""cached_value"":10.665118055555556,""data_type"":""n""},""I10"":{""raw_formula"":""='12м'!RW19"",""cached_value"":6,""data_type"":""n""},""J10"":{""raw_formula"":""='12м'!RX19"",""cached_value"":233,""data_type"":""n""},""K10"":{""raw_formula"":""='12м'!RY19"",""cached_value"":""7х2"",""data_type"":""s""},""L10"":{""raw_formula"":""='12м'!RZ19"",""cached_value"":""9х2"",""data_type"":""s""},""M10"":{""raw_formula"":""='12м'!SA19"",""cached_value"":""6х2"",""data_type"":""s""},""N10"":{""raw_formula"":""='12м'!SB19"",""cached_value"":""9х2"",""data_type"":""s""},""O10"":{""raw_formula"":""=(E10+G10*T10)/(12*$V$11)+H10"",""cached_value"":22.72067361111111,""data_type"":""n""}}"
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A9:O14,2026-09-17,15,ROW15,11,"{""A11"":{""raw_formula"":null,""cached_value"":15,""data_type"":""n""},""B11"":{""raw_formula"":""='15м'!RQ19"",""cached_value"":""ПГС245/20х80х2,5"",""data_type"":""s""},""C11"":{""raw_formula"":""='15м'!RR19"",""cached_value"":""ПГС300/20х80х3"",""data_type"":""s""},""D11"":{""raw_formula"":null,""cached_value"":null,""data_type"":""n""},""E11"":{""raw_formula"":""=181*S11"",""cached_value"":362,""data_type"":""n""},""F11"":{""raw_formula"":""='15м'!RT19"",""cached_value"":308,""data_type"":""n""},""G11"":{""raw_formula"":""='15м'!RU19"",""cached_value"":820,""data_type"":""n""},""H11"":{""raw_formula"":""='15м'!RV19"",""cached_value"":8.532094444444445,""data_type"":""n""},""I11"":{""raw_formula"":""='15м'!RW19"",""cached_value"":6,""data_type"":""n""},""J11"":{""raw_formula"":""='15м'!RX19"",""cached_value"":264,""data_type"":""n""},""K11"":{""raw_formula"":""='15м'!RY19"",""cached_value"":""9х2"",""data_type"":""s""},""L11"":{""raw_formula"":""='15м'!RZ19"",""cached_value"":""10х2"",""data_type"":""s""},""M11"":{""raw_formula"":""='15м'!SA19"",""cached_value"":""8х2"",""data_type"":""s""},""N11"":{""raw_formula"":""='15м'!SB19"",""cached_value"":""10х2"",""data_type"":""s""},""O11"":{""raw_formula"":""=(E11+G11*T11)/(15*$V$11)+H11"",""cached_value"":22.020983333333334,""data_type"":""n""}}"
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,подбор,подбор!A9:O14,2026-09-17,18,ROW15,12,"{""A12"":{""raw_formula"":null,""cached_value"":18,""data_type"":""n""},""B12"":{""raw_formula"":""='18м'!RQ19"",""cached_value"":""ПГС300/20х80х2,5"",""data_type"":""s""},""C12"":{""raw_formula"":""='18м'!RR19"",""cached_value"":""ПГС300/20х80х3"",""data_type"":""s""},""D12"":{""raw_formula"":null,""cached_value"":null,""data_type"":""n""},""E12"":{""raw_formula"":""=224*S12"",""cached_value"":672,""data_type"":""n""},""F12"":{""raw_formula"":""='18м'!RT19"",""cached_value"":332,""data_type"":""n""},""G12"":{""raw_formula"":""='18м'!RU19"",""cached_value"":950,""data_type"":""n""},""H12"":{""raw_formula"":""='18м'!RV19"",""cached_value"":6.802672839506172,""data_type"":""n""},""I12"":{""raw_formula"":""='18м'!RW19"",""cached_value"":5,""data_type"":""n""},""J12"":{""raw_formula"":""='18м'!RX19"",""cached_value"":280,""data_type"":""n""},""K12"":{""raw_formula"":""='18м'!RY19"",""cached_value"":""10х2"",""data_type"":""s""},""L12"":{""raw_formula"":""='18м'!RZ19"",""cached_value"":""11х2"",""data_type"":""s""},""M12"":{""raw_formula"":""='18м'!SA19"",""cached_value"":""8х2"",""data_type"":""s""},""N12"":{""raw_formula"":""='18м'!SB19"",""cached_value"":""11х2"",""data_type"":""s""},""O12"":{""raw_formula"":""=(E12+G12*T12)/(18*$V$11)+H12"",""cached_value"":23.53724074074074,""data_type"":""n""}}"
