schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,design_family,branch,lookup_column,source_cell,raw_formula,cached_value_json,data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,9м,9м!ID19,2026-09-17,9,ROW14,F,ID19,"=INDEX(ID6:ID14,MATCH(HZ18,HZ6:HZ14,0))",244,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,9м,9м!IH19,2026-09-17,9,ROW14,J,IH19,"=INDEX(IH6:IH14,MATCH(HZ18,HZ6:HZ14,0))",186,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,9м,9м!II19,2026-09-17,9,ROW14,K,II19,"=INDEX(II6:II14,MATCH(HZ18,HZ6:HZ14,0))","""6х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,9м,9м!IJ19,2026-09-17,9,ROW14,L,IJ19,"=INDEX(IJ6:IJ14,MATCH(HZ18,HZ6:HZ14,0))","""8х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,9м,9м!IK19,2026-09-17,9,ROW14,M,IK19,"=INDEX(IK6:IK14,MATCH(HZ18,HZ6:HZ14,0))","""7х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,9м,9м!IL19,2026-09-17,9,ROW14,N,IL19,"=INDEX(IL6:IL14,MATCH(HZ18,HZ6:HZ14,0))","""8х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,12м,12м!ID19,2026-09-17,12,ROW14,F,ID19,"=INDEX(ID6:ID14,MATCH(HZ18,HZ6:HZ14,0))",260,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,12м,12м!IH19,2026-09-17,12,ROW14,J,IH19,"=INDEX(IH6:IH14,MATCH(HZ18,HZ6:HZ14,0))",233,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,12м,12м!II19,2026-09-17,12,ROW14,K,II19,"=INDEX(II6:II14,MATCH(HZ18,HZ6:HZ14,0))","""7х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,12м,12м!IJ19,2026-09-17,12,ROW14,L,IJ19,"=INDEX(IJ6:IJ14,MATCH(HZ18,HZ6:HZ14,0))","""9х2""",s
