schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,units,cell,formula_json,cached_value_json,cell_data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,C7,null,1.13,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SO58,null,500,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SP58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SQ58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SR58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SS58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,ST58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SU58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SV58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SW58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SX58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SY58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,SZ58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TA58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TB58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TC58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TD58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TE58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TF58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TG58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TH58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TI58,null,600,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TJ58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TK58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TL58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TM58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TN58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TO58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TP58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TQ58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TR58,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,"C7,SO58:ALU58,SM60:SM109,SO113:ALU113,SM115:SM164",2026-09-16,source-labelled,TS58,null,null,n
