schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,units,cell,formula_json,cached_value_json,cell_data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SK5,null,"""2ТПС 145х45х1,5""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SL5,"{""text"":""7.5/0.85*IF('Подбор прогонов'!B21=\""по умолчанию\"",0.85,'Подбор прогонов'!B21/100)"",""type"":null,""shared_index"":null,""ref"":null}",7.5,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SM5,null,5.3432,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SK6,null,"""2ТПС 150х45х1,5""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SL6,"{""text"":""7.37/0.85*IF('Подбор прогонов'!B21=\""по умолчанию\"",0.85,'Подбор прогонов'!B21/100)"",""type"":null,""shared_index"":null,""ref"":null}",7.370000000000001,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SM6,null,5.4686,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SK7,null,"""2ТПС 150х45х2""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SL7,"{""text"":""10.19/0.85*IF('Подбор прогонов'!B21=\""по умолчанию\"",0.87,'Подбор прогонов'!B21/100)"",""type"":null,""shared_index"":null,""ref"":null}",10.429764705882352,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SM7,null,7.194,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Расчеты,SK5:SM54,2026-09-16,profile key and source-labelled mass/property,SK8,null,"""2ТПС 150х65х1,5""",s
