schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,units,cell,formula_json,cached_value_json,cell_data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,A14,null,"""Максимальный шаг прогонов""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,B14,"{""text"":""IF(вывод!D24=0,вывод!$D$23,вывод!D24)"",""type"":null,""shared_index"":null,""ref"":null}",2150,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,C14,null,"""мм""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,D14,null,"""задаем (на великан кратно 3)""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,A15,null,"""Минимальный шаг""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,B15,"{""text"":""вывод!$D$25"",""type"":null,""shared_index"":null,""ref"":null}",0,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,C15,null,"""мм""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,D15,null,"""Только для великана (1,5м)""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,A16,null,"""Прогон под снегозадержание""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,B16,"{""text"":""вывод!$D$26"",""type"":null,""shared_index"":null,""ref"":null}","""нет""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,C16,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,D16,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,A17,null,"""Прогон под ограждение""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,B17,"{""text"":""вывод!$D$27"",""type"":null,""shared_index"":null,""ref"":null}","""нет""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,C17,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,D17,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,A18,null,"""Толщина утеплителя в НАШЕЙ послойке""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,B18,"{""text"":""IF(OR(B6=\""наше 150 мм\"",B6=\""наше 150 мм с 1 слоем гвл\"",B6=\""наше 150 мм с 2 слоем гвл\""),150,IF(OR(B6=\""наше 200 мм\"",B6=\""наше 200 мм с 1 слоем гвл\"",B6=\""наше 200 мм с 2 слоем гвл\""),200,IF(OR(B6=\""наше 250 мм\"",B6=\""наше 250 мм с 1 слоем гвл\"",B6=\""наше 250 мм с 2 слоем гвл\""),250,0)))"",""type"":null,""shared_index"":null,""ref"":null}",0,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,C18,null,"""мм""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,D18,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,A20,null,"""М.п.350""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,B20,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A14:D18,A20:N31,P25:V28,L45:L47",2026-09-16,mixed,C20,null,null,n
