schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,units,cell,formula_json,cached_value_json,cell_data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D36,"{""text"":""IF($D$4<21,\""┘└2уг. 63х5\"",IF($D$16=\""I\"",\""┘└2уг. 63х5\"",IF($D$16=\""II\"",\""┘└2уг. 63х5\"",\""┘└2уг. 75х5\"")))"",""type"":null,""shared_index"":null,""ref"":null}","""┘└2уг. 63х5""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E36,null,"""С345""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F36,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D37,"{""text"":""IF($D$4<21,\""┘└2уг. 63х5\"",IF($D$16=\""I\"",\""┘└2уг. 63х5\"",IF($D$16=\""II\"",\""┘└2уг. 63х5\"",\""┘└2уг. 75х5\"")))"",""type"":null,""shared_index"":null,""ref"":null}","""┘└2уг. 63х5""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E37,null,"""С345""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F37,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D38,"{""text"":""IF($D$29=\""+\"",\""100x3\"",IF($F$8<=4,\""60х3\"",\""80х3\""))"",""type"":null,""shared_index"":null,""ref"":null}","""80х3""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E38,"{""text"":""IF($D$4>21,\""С345\"", \""С245\"")"",""type"":null,""shared_index"":null,""ref"":null}","""С245""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F38,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D39,"{""text"":""IF($D$29=\""+\"",\""120x4\"",IF(D4>21,IF($F$8<=4,\""100х3\"",\""120х3\""), \""80x3\""))"",""type"":null,""shared_index"":null,""ref"":null}","""80x3""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E39,"{""text"":""IF($D$4>21,\""С345\"", \""С245\"")"",""type"":""shared"",""shared_index"":""3"",""ref"":""E39:E41""}","""С245""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F39,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D40,"{""text"":""IF($D$29=\""+\"",\""120x4\"",IF(D5>21,\""80x3\"",IF($F$8<=4,\""100х3\"",\""120х3\"")))"",""type"":null,""shared_index"":null,""ref"":null}","""120х3""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E40,"{""text"":null,""type"":""shared"",""shared_index"":""3"",""ref"":null}","""С245""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F40,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D41,"{""text"":""IF(D4>21,IF(E8>E9,подбор!AI15,подбор!AI14),IF(D6<3,\""кв. 120х4\"",\""кв. 160х4\""))"",""type"":null,""shared_index"":null,""ref"":null}","""кв. 160х4""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E41,"{""text"":null,""type"":""shared"",""shared_index"":""3"",""ref"":null}","""С245""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F41,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D42,null,"""кв. 100х4 (N=-33)""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E42,null,"""С245""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F42,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D43,null,"""кв. 80х3""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E43,null,"""С245""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F43,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D44,null,"""кв. 80х3""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E44,null,"""С245""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F44,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D45,null,"""I30Б1""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E45,null,"""С245""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F45,null,0.65,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D46,null,"""I18Б1""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E46,null,"""С245""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F46,null,0.71,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D47,null,"""кв. 100х4""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E47,null,"""С245""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F47,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D48,null,"""t5""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E48,null,"""С255""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F48,null,null,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",D49,null,"""t6""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",E49,null,"""С255""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,вывод,D36:F49,2026-09-16,"profile, steel, utilization where present",F49,null,null,n
