schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,units,cell,formula_json,cached_value_json,cell_data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,B24,"{""text"":""Расчет!B22"",""type"":null,""shared_index"":null,""ref"":null}","""кв.80х3""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,C24,"{""text"":""Расчет!B23"",""type"":null,""shared_index"":null,""ref"":null}","""С245""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,D24,"{""text"":""Расчет!B21"",""type"":null,""shared_index"":null,""ref"":null}",43.200700000000005,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,B25,"{""text"":""Расчет!C22"",""type"":null,""shared_index"":null,""ref"":null}","""кв.80х3""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,C25,"{""text"":""Расчет!C23"",""type"":null,""shared_index"":null,""ref"":null}","""С345""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,D25,"{""text"":""Расчет!C21"",""type"":null,""shared_index"":null,""ref"":null}",43.2139,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,B26,"{""text"":""Расчет!D22"",""type"":null,""shared_index"":null,""ref"":null}","""кв.100х3""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,C26,"{""text"":""Расчет!D23"",""type"":null,""shared_index"":null,""ref"":null}","""С245""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,D26,"{""text"":""Расчет!D21"",""type"":null,""shared_index"":null,""ref"":null}",54.601099999999995,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,B27,"{""text"":""Расчет!E22"",""type"":null,""shared_index"":null,""ref"":null}","""пр.120х80х3""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,C27,"{""text"":""Расчет!E23"",""type"":null,""shared_index"":null,""ref"":null}","""С245""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,D27,"{""text"":""Расчет!E21"",""type"":null,""shared_index"":null,""ref"":null}",54.606899999999996,n
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,B28,"{""text"":""Расчет!F22"",""type"":null,""shared_index"":null,""ref"":null}","""кв.100х3""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Лист1,"B24:D33,B37:D46",2026-09-16,mixed,C28,"{""text"":""Расчет!F23"",""type"":null,""shared_index"":null,""ref"":null}","""С345""",str
